len_payload,num_special_chars,has_http,num_script_tags,num_iframe_tags,num_img_tags,num_svg_tags,num_body_tags,has_javascript_protocol,has_alert,has_onerror,has_onload,has_onmouseover,has_onclick,has_eval,Label
57,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
97,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
41,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
35,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
56,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
51,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
62,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
2002,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
40,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0
52,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
95,14,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0
530,45,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
43,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
112,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
40,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
190,18,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
48,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
97,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
54,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
45,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
479,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
51,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
48,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
40,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
44,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1.0
37,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
160,16,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
55,10,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
476,32,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
322,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
45,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0.0
60,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
30,8,0,0,0,0,1,0,0,1,0,1,0,0,0,1.0
